	timestamp	nose_x	nose_y	nose_z	nose_c	neck_x	neck_y	neck_z	neck_c	rshoulder_x	rshoulder_y	rshoulder_z	rshoulder_c	relbow_x	relbow_y	relbow_z	relbow_c	rwrist_x	rwrist_y	rwrist_z	rwrist_c	lshoulder_x	lshoulder_y	lshoulder_z	lshoulder_c	lelbow_x	lelbow_y	lelbow_z	lelbow_c	lwrist_x	lwrist_y	lwrist_z	lwrist_c	midhip_x	midhip_y	midhip_z	midhip_c	rhip_x	rhip_y	rhip_z	rhip_c	rknee_x	rknee_y	rknee_z	rknee_c	rankle_x	rankle_y	rankle_z	rankle_c	lhip_x	lhip_y	lhip_z	lhip_c	lknee_x	lknee_y	lknee_z	lknee_c	lankle_x	lankle_y	lankle_z	lankle_c	reye_x	reye_y	reye_z	reye_c	leye_x	leye_y	leye_z	leye_c	rear_x	rear_y	rear_z	rear_c	lear_x	lear_y	lear_z	lear_c	lbigtoe_x	lbigtoe_y	lbigtoe_z	lbigtoe_c	lsmalltoe_x	lsmalltoe_y	lsmalltoe_z	lsmalltoe_c	lheel_x	lheel_y	lheel_z	lheel_c	rbigtoe_x	rbigtoe_y	rbigtoe_z	rbigtoe_c	rsmalltoe_x	rsmalltoe_y	rsmalltoe_z	rsmalltoe_c	rheel_x	rheel_y	rheel_z	rheel_c
0	1712928229.584087	348.42	53.4235	20	0.901691	348.387	72.4924	19	0.996455	340.794	72.4353	19	0.937083	325.726	95.0857	22	0.865659	318.319	110.31	22	0.847421	367.189	72.5302	20	0.882215	374.622	95.0803	21	0.888589	371.074	110.18	21	0.892428	348.193	113.964	20	0.897355	340.793	113.879	20	0.871157	340.763	151.676	22	0.778334	340.794	167.071	23	0.786621	352.158	114.008	20	0.856736	348.296	151.769	22	0.894284	344.664	170.686	23	0.854284	348.259	49.6867	20	0.939559	352.1	49.6658	19	0.882774	344.598	49.8078	21	0.786431	359.64	53.4003	19	0.677105	344.567	182.038	22	0.609561	344.739	178.288	23	0.607693	344.575	174.5	23	0.661212	340.853	181.917	23	0.645896	340.673	178.227	23	0.630699	340.676	174.408	23	0.579121
1	1712928229.630392	348.429	53.3933	19	0.901944	348.378	72.48	19	1.00213	340.767	72.4208	19	0.934823	325.655	95.0529	22	0.862666	318.306	110.263	22	0.857451	367.185	72.5087	20	0.887283	374.626	95.0435	21	0.893662	371.085	110.185	21	0.901454	348.181	113.965	20	0.892938	340.773	113.886	20	0.866064	340.781	151.751	22	0.791523	340.815	170.661	24	0.791267	352.14	114.002	21	0.857638	348.329	151.759	22	0.895312	344.684	170.796	23	0.855266	348.266	49.6596	19	0.944115	352.117	49.639	19	0.884318	344.598	49.7817	19	0.796814	359.638	53.3757	19	0.668367	344.639	185.776	22	0.628407	348.24	182.04	22	0.619153	344.599	178.227	23	0.666132	344.424	185.697	22	0.660773	340.726	181.993	23	0.643449	340.699	174.528	23	0.591504
2	1712928229.630392	0	0	0	0	480	253.85	15	0.19286	480	253.912	15	0.173107	480	269.023	15	0.129425	480	283.916	14	0.0984593	480	253.83	15	0.182688	480	265.269	15	0.13356	480	280.337	15	0.088671	480	283.992	14	0.246183	480	284.02	14	0.245641	480	303.033	13	0.21203	480	321.854	12	0.197134	480	283.967	14	0.240871	480	302.974	13	0.210693	480	321.865	12	0.215347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	329.457	12	0.17561	480	322.03	12	0.147237	0	0	0	0	480	333.22	12	0.154999
3	1712928229.677355	348.414	53.3992	19	0.901172	348.363	72.4815	19	1.00567	340.772	72.4191	19	0.934281	325.661	95.0521	22	0.859961	318.265	110.268	22	0.859974	363.544	72.5325	19	0.883758	374.612	95.0766	22	0.887207	371.061	110.217	21	0.887337	344.755	113.984	21	0.893143	340.759	113.895	21	0.863459	340.753	151.72	22	0.775974	340.807	167.066	23	0.783926	352.1	114.027	21	0.859748	348.281	151.798	22	0.890616	344.676	170.674	23	0.850111	348.256	49.6678	19	0.939449	352.092	49.6469	19	0.88407	344.596	49.7967	20	0.781426	356.016	53.3798	19	0.683581	344.624	182.001	23	0.599807	348.226	178.215	23	0.605369	344.598	174.481	23	0.652002	344.398	181.936	23	0.636455	340.736	178.233	23	0.620661	340.676	174.415	24	0.568509
4	1712928229.677355	0	0	0	0	480	253.716	15	0.354996	480	253.853	15	0.318611	480	272.645	15	0.219742	480	283.965	14	0.181746	480	253.648	15	0.374976	480	257.838	15	0.306381	480	280.259	15	0.199461	480	283.936	14	0.487531	480	284.011	14	0.472639	480	306.672	13	0.407395	480	321.925	12	0.363098	480	283.889	14	0.489964	480	306.689	13	0.400465	480	321.858	12	0.391577	0	0	0	0	480	238.728	16	0.0509933	480	246.327	16	0.0824757	480	242.37	16	0.117532	480	325.737	12	0.250022	480	325.723	12	0.222356	480	329.413	12	0.328919	480	322.05	12	0.303614	0	0	0	0	480	333.2	12	0.29382
5	1712928229.724324	348.44	53.3914	19	0.90717	348.399	72.473	19	1.0034	340.78	72.4178	19	0.94062	325.741	95.0484	22	0.86272	318.326	110.153	22	0.874223	367.206	72.5058	19	0.891883	374.637	95.033	22	0.89259	371.09	110.117	21	0.911221	348.232	113.926	20	0.901234	340.821	110.304	20	0.880131	340.775	147.996	22	0.785735	340.814	167.032	23	0.827328	352.204	113.961	20	0.85667	348.335	151.753	22	0.895836	344.681	170.63	23	0.87956	348.273	49.6594	19	0.953654	352.127	49.6374	19	0.890133	344.593	49.7815	20	0.802796	359.672	53.3809	19	0.673777	344.627	181.979	23	0.632831	348.242	178.2	23	0.632269	344.61	174.438	23	0.678463	344.397	181.933	23	0.670782	340.721	178.2	23	0.65582	340.7	170.808	23	0.614741
6	1712928229.724324	0	0	0	0	480	253.763	15	0.271349	480	253.876	15	0.238614	480	272.666	15	0.181152	480	283.996	15	0.145634	480	253.741	15	0.271644	480	261.488	15	0.2178	480	280.348	15	0.141479	480	283.976	15	0.378743	480	284.033	15	0.37118	480	302.983	13	0.308671	480	321.832	12	0.288083	480	283.947	15	0.372466	480	303.013	13	0.301143	480	318.272	13	0.317448	0	0	0	0	0	0	0	0	480	250.065	15	0.0631281	480	242.501	16	0.0688355	480	325.739	12	0.197649	480	325.723	12	0.176015	480	325.692	12	0.268088	480	322.043	12	0.24054	480	325.661	12	0.225063	480	329.526	12	0.228514
7	1712928229.771443	348.428	53.3923	19	0.905702	348.368	72.4544	19	0.999539	340.777	72.4126	20	0.934005	325.746	95.0099	22	0.852897	321.841	110.115	22	0.880806	363.552	72.4881	19	0.884077	374.637	95.0117	21	0.885709	371.098	110.125	21	0.899899	348.224	113.94	20	0.900656	340.827	113.866	20	0.87759	340.807	151.769	22	0.796528	340.807	170.661	23	0.792398	352.199	113.967	20	0.855884	348.345	155.431	22	0.895969	344.718	170.752	23	0.848133	348.263	49.6602	19	0.951724	352.11	49.6371	19	0.88786	344.58	49.7753	21	0.805899	359.628	53.374	19	0.662099	344.7	185.708	22	0.601128	348.307	181.958	23	0.593059	344.629	178.148	23	0.648379	344.449	185.689	22	0.657199	340.748	181.964	23	0.635891	340.691	174.535	23	0.595865
8	1712928229.771443	0	0	0	0	480	253.828	15	0.269381	480	253.914	15	0.24223	480	272.693	15	0.188185	480	283.974	14	0.149722	480	253.788	15	0.267022	480	265.131	15	0.200551	480	280.346	15	0.133782	480	283.962	14	0.365219	480	284.004	14	0.359401	480	302.979	13	0.316628	480	318.32	13	0.297074	480	283.941	14	0.357955	480	306.652	13	0.303709	480	318.307	13	0.320262	0	0	0	0	0	0	0	0	480	253.585	15	0.0684095	480	246.187	15	0.0665551	480	325.72	12	0.194512	480	325.703	12	0.176282	480	329.385	12	0.268503	480	322.002	12	0.237903	480	322.054	12	0.222668	480	329.498	12	0.231651
9	1712928229.817666	348.428	53.3913	19	0.892632	348.374	72.4132	19	1.00164	340.846	72.3828	19	0.934143	329.486	94.9667	21	0.837998	321.896	106.587	22	0.869058	363.51	72.4638	19	0.883441	374.611	91.3218	21	0.862808	371.093	106.507	21	0.886407	348.247	110.284	20	0.912352	340.867	110.219	20	0.895536	340.872	147.913	22	0.785054	340.852	167.015	24	0.783914	352.212	110.304	20	0.862319	348.34	151.692	22	0.889204	344.69	167.093	23	0.857211	348.269	49.6704	19	0.934492	352.069	49.6387	19	0.874216	344.602	49.7713	19	0.792118	355.972	53.3913	19	0.652377	344.666	181.927	23	0.606391	348.289	174.509	23	0.608919	344.585	174.387	23	0.638771	344.449	178.258	23	0.636041	340.817	178.151	23	0.619871	340.708	170.795	24	0.58049
