	timestamp	nose_x	nose_y	nose_z	nose_c	neck_x	neck_y	neck_z	neck_c	rshoulder_x	rshoulder_y	rshoulder_z	rshoulder_c	relbow_x	relbow_y	relbow_z	relbow_c	rwrist_x	rwrist_y	rwrist_z	rwrist_c	lshoulder_x	lshoulder_y	lshoulder_z	lshoulder_c	lelbow_x	lelbow_y	lelbow_z	lelbow_c	lwrist_x	lwrist_y	lwrist_z	lwrist_c	midhip_x	midhip_y	midhip_z	midhip_c	rhip_x	rhip_y	rhip_z	rhip_c	rknee_x	rknee_y	rknee_z	rknee_c	rankle_x	rankle_y	rankle_z	rankle_c	lhip_x	lhip_y	lhip_z	lhip_c	lknee_x	lknee_y	lknee_z	lknee_c	lankle_x	lankle_y	lankle_z	lankle_c	reye_x	reye_y	reye_z	reye_c	leye_x	leye_y	leye_z	leye_c	rear_x	rear_y	rear_z	rear_c	lear_x	lear_y	lear_z	lear_c	lbigtoe_x	lbigtoe_y	lbigtoe_z	lbigtoe_c	lsmalltoe_x	lsmalltoe_y	lsmalltoe_z	lsmalltoe_c	lheel_x	lheel_y	lheel_z	lheel_c	rbigtoe_x	rbigtoe_y	rbigtoe_z	rbigtoe_c	rsmalltoe_x	rsmalltoe_y	rsmalltoe_z	rsmalltoe_c	rheel_x	rheel_y	rheel_z	rheel_c
0	1712928158.662111	348.445	53.4693	19	0.881593	348.385	72.4106	19	0.992748	344.334	72.3726	19	0.937175	333.285	91.2832	21	0.814859	336.967	106.227	21	0.827029	363.507	72.4859	20	0.883323	371.116	94.9308	21	0.831271	370.985	102.751	22	0.873979	348.243	110.181	21	0.93582	344.349	110.108	21	0.927213	340.827	140.518	22	0.820384	340.762	166.919	24	0.795549	352.16	110.208	21	0.886444	348.338	144.215	22	0.905913	344.701	167.033	23	0.850732	348.288	49.7	20	0.923303	352.069	49.715	19	0.862023	344.649	49.7975	21	0.789031	355.971	53.4857	19	0.628911	344.707	178.154	23	0.601837	348.352	174.426	23	0.590347	344.605	170.757	23	0.646943	340.838	174.519	23	0.653214	340.693	174.389	23	0.641901	337.027	170.674	24	0.623523
1	1712928158.709525	348.428	53.4449	19	0.885878	348.38	72.3953	19	0.994338	340.873	72.3622	19	0.933614	333.28	91.2607	21	0.814543	336.985	106.227	21	0.823576	363.517	72.4632	19	0.885344	374.593	91.2772	21	0.83691	370.994	102.747	22	0.866918	348.264	110.176	20	0.938485	344.369	110.108	20	0.931252	340.845	144.125	23	0.819583	340.772	166.96	24	0.799895	352.19	110.199	20	0.885128	348.355	144.24	23	0.905238	344.715	167.073	23	0.844289	348.273	49.6799	19	0.92727	348.608	49.6975	19	0.866802	344.628	49.7845	21	0.78692	355.96	53.4628	19	0.633191	344.728	178.192	23	0.59333	348.376	174.474	23	0.579808	344.621	174.363	23	0.639489	344.373	178.21	23	0.656303	340.7	174.447	23	0.640966	337.034	170.722	24	0.627764
2	1712928158.709525	0	0	0	0	480	253.668	15	0.282704	480	253.776	15	0.244196	480	268.961	15	0.182646	480	283.904	15	0.145814	480	253.636	15	0.293035	480	261.335	15	0.235556	480	280.191	15	0.145436	480	283.883	15	0.390482	480	283.951	15	0.383966	480	299.218	13	0.331216	480	318.264	13	0.310529	480	283.843	15	0.384465	480	302.896	13	0.321402	480	318.193	13	0.343986	0	0	0	0	0	0	0	0	480	246.308	16	0.0656479	480	234.974	17	0.0798258	480	322.057	12	0.214614	480	322.043	12	0.189365	480	321.978	12	0.294446	480	321.943	12	0.255221	480	321.997	12	0.239168	480	329.44	12	0.244327
3	1712928158.75618	348.459	53.4622	19	0.87417	348.392	72.368	19	0.985652	344.364	72.3415	19	0.932168	336.919	91.2131	21	0.811896	337.047	102.713	21	0.840106	363.503	72.4451	19	0.878281	371.111	91.2441	21	0.826577	370.91	102.676	22	0.848087	348.266	110.098	20	0.941341	344.38	106.581	20	0.936886	344.314	140.451	22	0.822361	340.792	166.882	23	0.786116	352.175	110.102	21	0.886281	348.381	144.117	22	0.898311	344.757	166.99	23	0.826127	348.303	49.6938	19	0.918091	352.059	49.7029	19	0.856553	344.661	49.8026	20	0.798343	355.946	53.4565	19	0.604899	348.257	174.502	23	0.581109	348.442	174.383	23	0.565244	344.659	170.739	23	0.618952	344.379	174.493	23	0.641862	0	0	0	0	337.032	170.656	24	0.618724
4	1712928158.75618	0	0	0	0	480	253.75	15	0.291954	480	253.884	15	0.255573	480	272.677	15	0.187975	480	283.938	14	0.150257	480	253.719	15	0.307564	480	261.406	15	0.237428	480	280.221	14	0.153474	480	283.898	14	0.397241	480	283.962	14	0.389874	480	299.235	14	0.329126	480	318.231	13	0.307704	480	283.856	14	0.389657	480	302.926	13	0.320907	480	318.178	13	0.339416	0	0	0	0	0	0	0	0	0	0	0	0	480	242.479	16	0.0845954	480	322.011	12	0.223124	480	322.006	12	0.195744	480	321.94	13	0.287177	480	321.872	13	0.263306	480	321.93	13	0.24515	480	329.406	12	0.246065
5	1712928158.803012	348.463	53.4788	19	0.873573	348.412	72.379	19	0.983637	344.369	72.3429	19	0.935546	336.917	91.1795	21	0.80604	337.051	102.685	21	0.823062	363.528	72.458	19	0.879776	374.577	91.2481	22	0.825976	370.947	102.693	22	0.853074	348.278	110.101	21	0.940818	344.39	106.575	20	0.938304	340.831	140.391	22	0.819351	340.743	166.851	23	0.787403	352.196	110.114	21	0.885548	348.366	144.113	22	0.904295	344.747	166.987	23	0.84245	348.309	49.7031	20	0.914645	352.075	49.717	19	0.855806	344.673	49.8099	21	0.781666	355.983	53.4758	19	0.616749	348.246	174.504	23	0.59814	348.424	174.382	23	0.586695	344.656	170.709	23	0.644466	340.824	174.436	23	0.630227	340.689	170.752	23	0.623415	337.009	170.609	24	0.619253
6	1712928158.803012	0	0	0	0	480	253.668	15	0.236569	480	253.795	15	0.212822	480	265.227	15	0.157361	480	280.287	15	0.118286	480	253.679	15	0.231522	480	261.367	15	0.186741	480	276.547	15	0.10923	480	280.344	15	0.309563	480	280.382	15	0.305178	480	302.89	13	0.278957	480	318.246	12	0.273134	480	280.32	15	0.304941	480	299.219	13	0.278821	480	318.229	12	0.296021	0	0	0	0	0	0	0	0	480	249.988	15	0.0561623	480	238.718	16	0.0592505	480	325.706	12	0.186544	480	325.714	12	0.166511	480	325.684	12	0.243873	480	322	12	0.226045	480	322.037	12	0.211343	480	329.455	12	0.207114
7	1712928158.850101	348.436	53.4552	19	0.882503	348.393	72.3835	19	0.985827	344.342	72.3498	19	0.931578	333.303	91.2172	21	0.810958	336.975	102.741	21	0.829516	363.526	72.4572	19	0.878013	371.124	91.2913	20	0.835031	370.923	102.749	21	0.857288	348.262	110.128	20	0.939268	344.368	106.602	20	0.934505	340.863	140.442	22	0.819689	340.786	166.872	23	0.785499	352.184	110.142	20	0.884755	348.367	144.159	22	0.904593	344.731	167.01	23	0.840285	348.28	49.684	19	0.925312	348.614	49.7015	19	0.865107	344.636	49.7914	20	0.785445	355.957	53.4467	19	0.635261	344.729	174.517	23	0.586748	348.382	174.417	23	0.575785	344.638	170.748	23	0.635478	340.854	174.445	23	0.636782	340.706	170.764	23	0.627668	337.048	170.628	23	0.615687
8	1712928158.89691	348.444	53.4915	19	0.869132	348.38	72.3765	19	0.980689	344.368	72.3523	19	0.932734	336.945	91.1854	21	0.808758	337.068	102.712	21	0.827993	363.473	72.4507	19	0.870933	371.069	91.2471	21	0.811922	367.298	102.689	21	0.828849	348.255	110.099	21	0.94292	344.375	106.582	20	0.938338	344.334	140.459	22	0.825213	340.791	166.893	24	0.782187	352.158	110.114	21	0.886572	348.355	144.135	22	0.906793	344.713	167.029	23	0.830142	348.29	49.7188	19	0.909551	348.607	49.7236	19	0.85286	344.658	53.3812	19	0.778632	355.915	53.4632	19	0.600716	344.723	178.156	23	0.581996	348.372	174.44	23	0.569788	344.624	170.78	23	0.625279	344.388	174.498	23	0.633769	340.744	170.804	24	0.623573	337.025	170.658	24	0.612924
9	1712928158.89691	480	253.525	15	0.0584167	480	253.854	15	0.313666	480	253.946	15	0.279651	480	272.742	15	0.206466	480	283.959	14	0.166971	480	253.779	15	0.326082	480	261.518	15	0.247387	480	280.306	15	0.165943	480	283.949	14	0.423109	480	284.013	14	0.413936	480	303.019	13	0.362558	480	318.307	13	0.330878	480	283.914	14	0.416467	480	303.025	13	0.357414	480	318.239	13	0.366122	0	0	0	0	0	0	0	0	480	253.631	15	0.072137	480	246.231	15	0.0873286	480	325.662	12	0.233413	480	325.645	12	0.206525	480	325.663	12	0.307178	480	321.994	12	0.270379	480	322.038	12	0.25356	480	329.492	12	0.264963
10	1712928158.943568	348.466	53.4789	19	0.881759	348.401	72.4104	19	0.989796	344.333	72.3658	19	0.938094	333.257	91.2639	21	0.824381	337.018	102.754	21	0.839709	363.536	72.4839	20	0.883608	371.121	94.9451	21	0.840413	370.933	106.21	22	0.874429	348.255	110.164	21	0.937602	344.361	110.092	21	0.930942	340.807	140.49	22	0.820926	340.74	166.883	24	0.795656	352.18	110.182	21	0.887295	348.365	144.186	22	0.901897	344.716	166.994	24	0.838846	348.306	49.7019	19	0.926123	352.103	49.7198	19	0.864299	344.648	49.811	20	0.800297	356.006	53.4814	19	0.62581	348.217	174.48	23	0.592381	348.411	170.795	24	0.583316	344.632	170.703	24	0.635285	340.821	174.481	23	0.642456	340.681	170.791	24	0.633667	336.999	170.629	24	0.632013
