	timestamp	nose_x	nose_y	nose_z	nose_c	neck_x	neck_y	neck_z	neck_c	rshoulder_x	rshoulder_y	rshoulder_z	rshoulder_c	relbow_x	relbow_y	relbow_z	relbow_c	rwrist_x	rwrist_y	rwrist_z	rwrist_c	lshoulder_x	lshoulder_y	lshoulder_z	lshoulder_c	lelbow_x	lelbow_y	lelbow_z	lelbow_c	lwrist_x	lwrist_y	lwrist_z	lwrist_c	midhip_x	midhip_y	midhip_z	midhip_c	rhip_x	rhip_y	rhip_z	rhip_c	rknee_x	rknee_y	rknee_z	rknee_c	rankle_x	rankle_y	rankle_z	rankle_c	lhip_x	lhip_y	lhip_z	lhip_c	lknee_x	lknee_y	lknee_z	lknee_c	lankle_x	lankle_y	lankle_z	lankle_c	reye_x	reye_y	reye_z	reye_c	leye_x	leye_y	leye_z	leye_c	rear_x	rear_y	rear_z	rear_c	lear_x	lear_y	lear_z	lear_c	lbigtoe_x	lbigtoe_y	lbigtoe_z	lbigtoe_c	lsmalltoe_x	lsmalltoe_y	lsmalltoe_z	lsmalltoe_c	lheel_x	lheel_y	lheel_z	lheel_c	rbigtoe_x	rbigtoe_y	rbigtoe_z	rbigtoe_c	rsmalltoe_x	rsmalltoe_y	rsmalltoe_z	rsmalltoe_c	rheel_x	rheel_y	rheel_z	rheel_c
0	1712928174.097349	348.469	53.4629	20	0.890007	348.444	72.489	19	0.987673	344.338	72.437	19	0.94987	333.162	94.9776	21	0.829366	325.645	106.496	22	0.818673	367.201	72.5229	20	0.886121	371.106	95.0221	20	0.861256	371	106.553	22	0.874362	348.199	113.97	21	0.903495	340.855	113.886	21	0.872807	340.813	151.664	22	0.795659	340.776	167.023	24	0.790817	352.114	114.017	21	0.865162	348.354	151.738	23	0.894745	344.755	170.633	23	0.84842	348.314	49.7174	20	0.927984	352.139	49.6937	19	0.871316	344.661	53.4068	20	0.763348	359.708	53.4401	19	0.665632	348.221	181.919	23	0.612247	348.397	178.189	23	0.594345	344.669	174.443	23	0.652615	344.385	178.252	23	0.683506	340.719	178.146	23	0.662172	337.066	170.792	24	0.598675
1	1712928174.097349	0	0	0	0	480	253.673	15	0.218415	480	253.808	15	0.190995	480	268.929	15	0.146718	480	283.895	15	0.11671	480	253.687	15	0.216254	480	261.419	15	0.177064	480	280.218	15	0.110752	480	280.396	15	0.295944	480	283.886	15	0.293561	480	299.15	14	0.26458	480	318.137	13	0.250966	480	280.367	15	0.290536	480	299.165	14	0.258478	480	318.111	13	0.276552	0	0	0	0	0	0	0	0	0	0	0	0	480	238.627	16	0.0598504	480	321.958	12	0.177941	480	321.951	12	0.157616	480	321.909	12	0.231176	480	318.331	13	0.205497	0	0	0	0	480	325.736	12	0.195581
2	1712928174.135948	348.468	53.5187	19	0.869235	348.442	72.5009	20	0.978849	344.38	72.458	20	0.949888	333.248	94.9639	21	0.813781	329.42	106.476	22	0.790371	367.166	75.9281	20	0.870437	371.038	95.037	20	0.835394	370.915	106.507	21	0.840576	348.171	113.968	20	0.905526	340.871	113.877	20	0.872352	340.864	147.99	22	0.782964	340.835	166.995	24	0.735338	348.618	114.022	20	0.86541	348.319	151.692	23	0.882563	344.757	170.592	23	0.812279	348.32	49.7684	19	0.899354	352.093	49.7378	19	0.849861	344.693	53.4673	19	0.730005	356.032	53.4701	19	0.635942	348.225	178.261	23	0.592681	348.411	178.149	23	0.569944	344.661	174.436	23	0.618439	344.396	174.523	23	0.642359	340.779	174.457	23	0.621735	340.65	170.756	23	0.546521
3	1712928174.135948	0	0	0	0	480	253.612	15	0.185747	480	253.781	15	0.161184	480	268.96	15	0.116959	480	283.925	14	0.0923718	480	253.615	15	0.178155	480	261.448	15	0.137865	480	280.232	15	0.0878698	480	283.87	14	0.242079	480	283.917	14	0.240243	480	295.519	14	0.214465	480	318.074	13	0.216386	480	283.844	14	0.237136	480	295.483	14	0.216521	480	318.079	13	0.244354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	321.903	12	0.153221	480	321.896	12	0.136485	480	321.866	12	0.202719	480	318.282	13	0.178146	480	321.859	12	0.165507	480	325.678	12	0.16386
4	1712928174.183371	348.454	53.5074	20	0.87272	348.437	72.5109	19	0.984092	344.364	72.4798	20	0.945965	333.209	95.0305	21	0.822332	325.729	106.545	22	0.781908	367.163	75.9256	20	0.87716	371.087	94.9984	21	0.845058	371.059	106.441	22	0.874064	348.219	113.95	21	0.902773	344.341	113.899	21	0.875716	344.332	148.015	23	0.791929	340.861	166.962	24	0.771426	352.122	113.981	21	0.857979	348.341	151.693	23	0.882403	344.763	167.073	24	0.821164	348.301	49.767	20	0.901773	352.085	49.7287	19	0.853348	344.67	53.4699	20	0.74155	356.029	53.4729	19	0.64196	348.218	178.231	23	0.590581	348.411	174.5	23	0.568398	344.662	174.402	23	0.623734	344.42	178.17	23	0.670718	340.78	174.472	23	0.651042	340.684	170.733	24	0.577425
5	1712928174.230887	348.464	53.4873	20	0.879175	348.421	72.5052	19	0.983235	344.33	72.4562	19	0.940376	329.52	94.9848	22	0.816379	325.675	106.546	22	0.784609	367.163	75.9333	20	0.880456	371.089	95.0345	21	0.852993	371	106.506	21	0.869283	348.187	113.976	21	0.900815	340.848	113.892	21	0.868274	340.834	148.001	23	0.790242	340.798	167.006	24	0.776303	352.097	114.015	21	0.863436	348.366	151.693	23	0.885755	344.781	170.614	23	0.845807	348.31	49.7353	20	0.911816	352.123	49.7142	19	0.860258	344.669	53.4232	20	0.748693	359.66	53.4576	19	0.645364	348.275	178.284	23	0.618916	348.461	178.155	23	0.598646	344.7	174.427	23	0.657811	344.412	178.2	23	0.665054	340.75	174.508	23	0.645782	340.65	170.75	24	0.588906
6	1712928174.230887	0	0	0	0	480	253.657	15	0.161567	480	253.774	15	0.137562	480	265.181	15	0.102419	480	280.352	15	0.0780023	480	253.666	15	0.150008	480	261.43	15	0.117037	480	280.192	15	0.0746291	480	283.838	14	0.202801	480	283.869	14	0.203327	480	295.413	14	0.184146	480	314.485	13	0.187788	480	280.35	15	0.199321	480	291.786	14	0.190152	480	317.978	13	0.219432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	318.296	13	0.127449	480	318.268	13	0.115516	480	318.195	13	0.178962	480	318.192	13	0.129415	480	318.245	13	0.123659	480	321.939	13	0.143456
7	1712928174.277095	348.451	53.4529	20	0.882504	348.397	72.4761	20	0.988623	340.855	72.4303	19	0.935507	329.434	94.9495	21	0.819378	325.654	106.518	22	0.790912	363.552	72.5095	20	0.88096	371.106	94.9734	21	0.856505	371.023	106.474	22	0.878439	348.192	113.899	21	0.901828	340.821	110.279	21	0.872939	340.868	147.97	22	0.795867	340.858	167.036	24	0.777504	352.121	113.923	21	0.864927	348.396	147.992	22	0.883967	348.161	170.643	24	0.825478	348.295	49.7079	20	0.916984	352.105	49.684	19	0.864192	344.637	53.392	20	0.76571	359.637	53.4161	19	0.644491	348.276	178.287	23	0.588228	348.464	178.164	23	0.575369	344.71	174.452	23	0.63629	344.476	178.23	23	0.663852	340.815	174.537	24	0.644697	340.716	170.765	24	0.589633
8	1712928174.277095	0	0	0	0	480	253.864	15	0.188468	480	253.916	15	0.164542	480	276.462	15	0.12538	480	284.018	14	0.0937373	480	253.828	15	0.17861	480	268.99	15	0.133429	480	283.927	14	0.088711	480	284.049	14	0.248464	480	284.075	14	0.244748	480	306.752	13	0.208644	480	318.244	13	0.199547	480	284.025	14	0.244241	480	306.702	13	0.20778	480	318.302	13	0.217665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	325.645	12	0.129327	480	322.048	12	0.119847	480	325.72	12	0.179864	480	321.878	12	0.1532	480	321.946	12	0.143507	480	329.477	12	0.149104
9	1712928174.322894	348.449	53.499	20	0.867182	348.399	72.4815	19	0.976083	344.346	72.4393	19	0.931522	333.18	91.2815	21	0.790244	325.745	106.502	22	0.743084	363.522	72.5276	20	0.868738	371.053	94.9892	21	0.836832	370.97	106.495	21	0.849585	348.156	113.899	21	0.901337	340.826	110.266	21	0.868304	340.839	147.91	22	0.791319	340.783	166.963	24	0.749278	348.613	113.94	21	0.865011	348.305	147.939	22	0.890098	344.719	170.588	24	0.823189	348.303	49.7481	20	0.894532	352.064	49.7195	19	0.848038	344.664	53.4458	21	0.729812	355.991	53.4517	19	0.625196	344.714	178.272	23	0.589444	348.366	178.155	23	0.569545	344.622	174.437	23	0.628698	340.803	174.504	23	0.645594	340.683	174.435	23	0.628543	337.043	170.719	24	0.557908
