1712926905.57151	0	352.127,98.7917,19,0.603394	348.668,106.211,19,0.845799	348.128,102.765,19,0.865393	344.511,117.732,19,0.786075	344.6,132.842,19,0.783088	363.499,106.254,18,0.733656	370.893,121.52,19,0.645542	359.752,132.758,19,0.631935	348.414,136.525,19,0.937169	344.786,136.483,19,0.951363	344.715,162.883,20,0.883538	344.653,185.69,21,0.739361	352.107,136.527,19,0.865199	348.532,162.957,20,0.891185	348.29,185.711,21,0.778894	348.644,95.0254,19,0.572767	352.235,98.6486,19,0.532287	348.395,95.0776,19,0.533653	363.417,98.813,18,0.371793	348.43,193.419,20,0.706217	352.083,193.243,20,0.630569	348.305,193.159,20,0.6599	344.567,193.151,20,0.706228	344.422,189.609,21,0.682329	344.5,189.526,21,0.576257
1712926905.806275	0	352.049,102.584,18,0.600374	348.569,106.443,18,0.88261	344.791,106.396,18,0.881528	344.475,128.972,18,0.83539	344.457,136.723,18,0.780529	359.722,106.532,17,0.767375	363.558,129.092,18,0.687974	359.656,136.634,18,0.664244	348.331,140.498,18,0.886271	344.724,140.431,18,0.909696	344.619,166.872,19,0.874107	344.604,193.153,20,0.709085	348.617,140.53,18,0.834717	348.317,166.904,19,0.874502	348.172,193.143,20,0.744646	348.601,102.427,18,0.566087	352.125,102.49,18,0.518559	348.386,102.448,18,0.542034	355.9,102.481,18,0.325985	348.329,197.149,20,0.635879	348.524,197.023,20,0.575221	348.278,193.518,20,0.557673	344.526,197.01,20,0.658763	344.434,196.97,20,0.629219	344.452,193.437,20,0.519947
1712926905.853565	0	352.073,102.532,18,0.645204	348.572,106.467,18,0.891525	344.701,106.401,18,0.901619	344.317,128.996,18,0.82412	344.334,136.777,18,0.77901	363.477,106.549,17,0.784062	367.327,129.125,18,0.726775	363.413,136.731,18,0.676324	348.302,144.202,18,0.895594	344.619,144.108,18,0.906501	344.547,167.055,19,0.852117	344.512,193.321,21,0.713809	348.646,144.243,18,0.840223	348.322,170.612,19,0.860035	348.149,193.338,20,0.756099	348.583,102.372,18,0.621457	352.171,102.427,18,0.569524	348.369,102.393,18,0.573253	356.039,102.449,17,0.365506	348.291,197.303,20,0.623594	348.513,197.182,20,0.568275	348.247,197.115,20,0.555127	344.455,197.172,20,0.645938	344.363,197.103,20,0.621153	340.869,197.043,21,0.515661
1712926905.900193	0	352.084,102.43,17,0.682284	348.517,106.446,18,0.892054	344.631,106.405,17,0.89557	340.851,129.035,18,0.810481	340.881,136.82,18,0.759053	363.41,106.507,17,0.787687	367.261,129.122,18,0.693404	363.451,136.687,18,0.662953	348.311,144.236,18,0.888688	344.589,144.165,18,0.896668	344.534,167.081,19,0.845674	344.458,193.357,21,0.737101	352.075,144.241,18,0.833432	348.373,170.613,19,0.85567	344.806,193.395,21,0.774462	348.555,98.8078,17,0.662571	352.17,98.8753,17,0.605598	348.329,98.8361,17,0.606797	356.031,102.36,17,0.352594	344.715,197.323,20,0.608249	348.416,197.209,20,0.558575	344.723,197.141,20,0.59192	344.391,197.208,20,0.648229	340.828,197.136,21,0.630286	340.805,197.066,21,0.537494
1712926905.946761	0	352.164,98.8349,17,0.744096	348.587,106.358,17,0.939998	344.562,106.289,17,0.946588	340.705,128.949,18,0.845866	337.051,136.717,18,0.816804	367.218,106.468,17,0.860258	371.001,129.027,18,0.821363	367.326,136.763,18,0.778476	348.328,144.17,18,0.910767	344.546,140.54,18,0.910805	344.493,167.082,19,0.876221	344.478,193.409,20,0.819318	352.148,144.183,18,0.861451	348.465,170.702,19,0.897357	348.255,193.463,20,0.871814	348.581,98.6403,17,0.7259	352.286,98.7123,17,0.669105	348.362,98.6903,17,0.654741	359.763,98.8088,17,0.443417	348.382,200.869,20,0.687056	352.121,197.259,20,0.661971	348.326,197.215,20,0.645429	344.437,197.286,20,0.701329	340.844,197.225,21,0.694528	344.361,197.109,20,0.614383
1712926905.993166	0	352.138,98.7259,17,0.788545	348.553,106.364,17,0.95399	344.423,106.287,17,0.95477	337.029,129.031,18,0.861514	333.279,136.715,18,0.833596	367.302,106.466,17,0.877461	371.087,129.103,18,0.862353	370.982,140.329,18,0.819419	348.313,144.234,18,0.911012	344.488,144.153,18,0.90252	344.445,170.676,19,0.86838	344.434,193.494,20,0.848236	352.206,144.257,18,0.857304	348.508,174.447,19,0.895645	348.319,196.958,20,0.885623	348.515,94.9519,17,0.789733	355.852,94.9767,17,0.722799	348.261,95.0456,17,0.708716	359.771,98.7192,17,0.484078	348.446,200.922,20,0.694588	352.193,197.303,20,0.683312	348.39,197.281,20,0.668564	344.408,200.853,20,0.708785	340.799,197.313,21,0.709247	340.858,197.188,21,0.642453
1712926906.038985	0	348.611,102.399,17,0.748852	348.499,106.479,17,0.929983	344.536,106.41,17,0.935365	340.772,129.081,17,0.847878	340.763,140.349,18,0.793759	363.476,106.532,17,0.815199	370.891,129.084,17,0.76701	367.23,136.717,17,0.733295	348.323,144.275,17,0.893162	344.605,144.227,18,0.903325	344.604,170.651,19,0.8498	344.709,193.484,20,0.798912	352.093,144.256,18,0.838615	348.51,170.738,19,0.858439	348.403,193.515,20,0.822355	348.47,98.7545,17,0.732164	352.109,98.8278,17,0.676218	348.25,98.8255,17,0.667168	356.011,102.355,17,0.419928	352.066,200.973,20,0.649237	355.868,200.826,19,0.609743	348.511,197.306,20,0.610825	344.722,197.315,20,0.707783	344.614,197.272,20,0.689333	344.57,197.204,20,0.580968
1712926906.085871	0	352.197,98.7353,17,0.781031	348.548,106.416,17,0.944071	344.446,106.348,17,0.954609	340.656,129.093,17,0.856166	337.084,140.41,18,0.770841	367.297,106.487,17,0.863797	371.101,129.085,17,0.815808	374.589,136.712,18,0.795349	348.366,151.664,18,0.884582	344.581,148.009,18,0.898596	344.62,178.23,19,0.837201	344.751,197.271,20,0.843628	352.261,151.655,18,0.825302	348.551,181.957,19,0.86746	348.408,197.285,20,0.878752	348.555,94.9578,17,0.783244	355.926,94.9879,17,0.708587	348.301,95.0457,17,0.726069	363.423,98.6849,17,0.411802	348.483,208.535,20,0.631701	352.219,208.388,19,0.605237	348.436,204.646,20,0.655541	348.258,204.774,20,0.704857	344.709,204.761,20,0.695916	344.67,201.058,20,0.637294
1712926906.132653	0	352.194,98.7874,17,0.804965	348.534,106.52,17,0.947687	344.405,106.436,17,0.954782	340.642,132.656,17,0.883144	340.682,140.51,17,0.78252	367.311,106.601,17,0.858544	371.1,132.677,17,0.83373	374.576,136.808,18,0.785575	348.322,155.437,18,0.892132	344.543,155.42,18,0.901978	344.615,181.976,20,0.842633	344.756,197.35,20,0.855859	352.214,155.421,18,0.832044	348.557,185.656,19,0.873016	348.448,200.83,19,0.883686	348.548,95.0031,17,0.806342	355.965,95.0352,17,0.739492	348.289,98.6646,17,0.736126	363.497,98.7784,17,0.458526	352.116,212.295,19,0.649038	355.929,208.509,19,0.616613	348.467,204.716,19,0.671257	348.355,208.532,19,0.718557	348.232,208.531,19,0.712035	344.662,204.701,19,0.663231
1712926906.179663	0	352.134,102.491,16,0.736042	348.556,110.082,17,0.900868	344.606,106.576,17,0.913141	344.324,132.681,17,0.835589	344.554,140.46,17,0.799121	363.526,110.137,16,0.786986	370.927,132.691,17,0.711858	367.253,136.791,17,0.636394	348.35,155.545,18,0.88061	344.7,155.496,18,0.908259	344.776,182.047,19,0.837616	348.106,200.889,19,0.780252	352.086,155.505,17,0.809589	348.441,181.98,19,0.834761	348.321,200.871,19,0.80935	348.571,98.8567,17,0.72398	352.286,102.345,16,0.663574	348.333,102.389,17,0.660511	359.77,102.427,16,0.370124	348.487,216.06,19,0.627266	352.145,215.933,19,0.557874	348.376,208.495,19,0.59344	348.393,208.464,19,0.684252	348.263,208.538,19,0.667012	344.695,208.437,19,0.592166
1712926906.22674	0	352.18,98.8428,16,0.833978	348.557,110.116,16,0.931094	344.393,106.56,17,0.941431	337.002,132.809,17,0.870214	340.733,147.89,17,0.766279	370.913,110.177,16,0.860019	374.59,132.833,17,0.842086	374.595,140.491,17,0.771811	348.346,159.257,18,0.914691	344.586,159.252,18,0.934709	344.683,189.437,19,0.876004	344.778,204.674,19,0.834418	352.229,159.25,18,0.856763	348.568,189.492,19,0.902767	348.419,204.7,19,0.856903	348.512,95.078,17,0.842663	355.972,95.07,16,0.778914	348.263,98.7931,17,0.754406	363.542,98.8361,16,0.541792	348.512,219.662,18,0.66919	352.169,216.057,19,0.630119	348.442,212.249,19,0.693972	348.337,216.05,19,0.74069	344.733,216.065,19,0.738338	344.689,212.24,19,0.661257
1712926906.272745	0	352.295,102.441,16,0.805499	348.616,110.239,16,0.904586	344.496,110.134,16,0.93173	340.693,132.886,16,0.871274	340.84,151.705,17,0.751166	370.966,110.304,16,0.850919	374.605,132.93,17,0.820935	374.598,144.147,17,0.72763	348.404,159.346,17,0.928057	344.652,159.333,18,0.956302	344.718,189.512,19,0.893337	348.145,204.755,19,0.820932	352.273,159.35,17,0.864816	348.611,189.549,19,0.904316	348.445,208.386,19,0.847864	352.058,98.7824,16,0.812261	359.692,98.7758,16,0.745978	348.347,102.415,16,0.749233	367.257,102.438,16,0.475054	348.557,219.784,18,0.68042	352.225,219.729,18,0.635316	348.448,215.938,18,0.697278	348.333,219.69,18,0.736519	348.191,219.693,18,0.728915	344.69,215.955,19,0.656219
