timestamp	person_id	nose	neck	rshoulder	relbow	rwrist	lshoulder	lelbow	lwrist	midhip	rhip	rknee	rankle	lhip	lknee	lankle	reye	leye	rear	lear	lbigtoe	lsmalltoe	lheel	rbigtoe	rsmalltoe	rheel	background
1712927498.603169	0	348.232,72.1637,19,0.889967	344.752,76.2896,19,0.965596	337.021,76.2168,19,0.887014	325.612,102.402,21,0.913205	318.34,113.997,21,0.856205	355.924,76.3433,19,0.864828	363.48,102.411,20,0.845304	359.689,114.029,20,0.811282	344.598,117.714,20,0.897235	340.69,117.638,20,0.831663	336.969,140.518,21,0.789681	336.941,166.931,22,0.770133	348.36,117.681,20,0.885635	348.292,144.267,22,0.891876	344.741,167.011,23,0.909174	344.7,68.4898,19,0.876166	348.361,68.5279,19,0.844509	344.453,68.608,19,0.69098	348.577,72.1058,19,0.634589	348.21,181.99,22,0.711261	348.426,178.167,23,0.704504	344.618,170.802,23,0.727547	333.274,174.389,23,0.698518	329.477,174.369,23,0.687292	0,0,0,0
1712927498.647469	0	348.218,72.1065,19,0.884449	344.742,76.2589,19,0.960078	336.961,76.182,19,0.883004	321.96,102.389,22,0.919376	318.307,114.024,22,0.853192	355.962,76.3062,19,0.862959	367.171,102.389,20,0.849451	359.7,114.015,20,0.805225	344.573,117.694,20,0.888122	337.068,113.993,20,0.822113	333.3,140.549,22,0.784329	333.295,166.961,23,0.773782	348.374,117.664,20,0.876049	348.354,144.267,22,0.882699	344.74,167.023,23,0.899587	344.676,68.4135,19,0.870458	348.355,68.4562,19,0.843111	344.43,68.5194,19,0.687032	348.593,68.5576,19,0.646247	348.251,181.936,22,0.677191	348.482,174.519,23,0.673413	344.625,170.795,23,0.722741	333.277,174.452,23,0.693366	329.448,174.429,23,0.684895	329.48,170.704,23,0.618311
1712927498.694685	0	348.198,72.1051,19,0.876556	344.748,76.244,19,0.961255	336.998,76.1764,19,0.878383	322.036,102.37,22,0.902606	321.816,114.008,21,0.843644	355.921,76.2801,19,0.861274	363.541,102.36,20,0.834819	359.713,113.942,20,0.805981	344.606,117.653,21,0.89376	340.671,113.974,20,0.832272	336.975,140.529,22,0.781569	333.295,166.924,23,0.756008	348.393,114.019,20,0.879932	348.316,144.245,21,0.886849	344.731,167.001,23,0.89328	344.663,68.4193,19,0.861496	348.324,68.4573,19,0.836072	344.427,68.5271,19,0.671643	348.558,68.5468,19,0.644449	348.237,181.939,22,0.688227	348.463,174.516,23,0.681547	344.607,170.789,23,0.709197	333.258,174.412,23,0.679875	329.44,174.385,23,0.668828	329.474,170.67,23,0.604213
1712927498.740701	0	348.2,68.6176,19,0.890317	344.727,76.262,20,0.960707	336.937,76.1945,19,0.879551	321.934,102.402,22,0.928674	318.318,117.671,21,0.852984	355.938,76.2956,19,0.870994	367.172,102.372,20,0.845427	363.43,113.94,20,0.810568	344.593,117.726,20,0.888983	340.652,117.665,20,0.825131	336.995,144.176,22,0.78157	337.008,167.022,23,0.7808	348.393,117.689,20,0.876713	348.372,147.923,22,0.886256	344.768,167.07,23,0.896916	344.661,68.3915,19,0.876909	348.338,68.4331,19,0.849141	344.414,68.5019,19,0.692533	348.579,68.5238,19,0.644418	348.28,182.025,22,0.684723	348.494,178.205,23,0.676649	344.652,174.388,23,0.723116	337.026,178.164,22,0.689942	329.532,174.498,23,0.680792	333.222,170.779,23,0.618562
1712927498.787706	0	348.204,68.6315,19,0.881896	344.753,76.2618,19,0.962164	336.974,76.1996,19,0.879452	322.008,102.432,22,0.914853	318.351,117.728,21,0.841853	355.959,76.3021,19,0.862953	367.213,102.381,21,0.842727	363.423,113.969,20,0.799867	344.621,117.716,20,0.889063	340.695,117.655,20,0.82713	337.013,144.125,22,0.781975	337.042,166.907,23,0.773301	348.413,117.675,20,0.870871	348.328,147.916,22,0.887859	344.729,166.979,24,0.891155	344.665,68.4141,19,0.869162	348.335,68.4493,19,0.841067	344.424,68.5254,19,0.684384	348.573,68.5323,19,0.644411	348.204,181.934,22,0.668602	348.431,174.514,23,0.665091	344.61,170.765,23,0.698545	336.983,174.428,23,0.681831	333.172,174.389,23,0.670938	333.234,170.665,23,0.603447
1712927498.834997	0	348.234,68.5697,19,0.878391	344.771,76.2352,19,0.9742	336.991,76.167,19,0.891906	322.025,102.411,22,0.918689	318.306,117.669,21,0.854844	356.019,76.2789,19,0.867059	367.28,102.377,20,0.848727	363.539,114.007,20,0.8071	344.607,117.727,20,0.895701	340.661,117.655,20,0.831416	333.28,144.162,22,0.78968	333.28,167.009,23,0.792586	348.415,117.709,20,0.880078	348.313,147.979,21,0.89979	344.719,170.581,23,0.912041	344.689,64.8017,19,0.868086	348.368,64.8302,19,0.835248	344.452,68.473,19,0.68114	352.077,68.4732,19,0.648384	344.72,185.699,22,0.708442	348.416,178.254,23,0.703191	344.602,174.393,23,0.739837	333.195,174.525,23,0.701259	325.771,174.477,24,0.696834	329.46,170.768,24,0.632007
1712927498.881904	0	348.247,72.1161,19,0.884241	344.762,76.2704,19,0.966248	337.012,76.2075,19,0.893071	322.019,102.446,22,0.926782	318.342,117.709,21,0.84975	355.985,76.2989,19,0.865801	367.2,102.386,20,0.839384	363.525,113.991,20,0.803016	344.619,117.749,20,0.891479	340.69,117.689,20,0.829011	336.998,144.162,22,0.785467	337.011,166.961,22,0.788424	348.414,117.711,20,0.875211	348.334,147.925,22,0.894058	344.711,167.029,23,0.907323	344.702,68.4315,19,0.875765	348.385,68.4543,19,0.837541	344.461,68.5479,19,0.702378	352.083,68.5441,19,0.613611	344.707,181.987,23,0.690181	348.391,178.168,23,0.681383	344.591,170.814,23,0.722445	336.947,174.497,23,0.704582	329.509,174.436,23,0.692872	333.198,170.725,23,0.618588
1712927498.929179	0	348.247,68.632,19,0.883085	344.779,76.2603,19,0.969798	337.015,76.192,19,0.890968	322.041,102.402,22,0.916122	318.333,113.999,22,0.843145	356.017,76.2992,19,0.85927	367.246,102.376,20,0.840496	363.541,114.021,20,0.804726	344.62,117.722,20,0.895189	340.682,117.652,21,0.830691	336.92,144.12,22,0.792593	333.294,166.984,23,0.783689	348.416,117.693,20,0.876647	348.292,147.918,22,0.900762	344.705,167.073,24,0.908842	344.705,68.4216,19,0.872882	348.379,68.4472,19,0.840179	344.468,68.5531,19,0.69224	352.07,68.5367,19,0.642511	344.692,182.056,23,0.712617	348.37,178.244,23,0.6987	344.584,174.392,23,0.73566	333.178,174.485,23,0.703663	329.4,174.449,23,0.696459	329.471,170.766,24,0.620827
1712927498.975917	0	348.257,68.5808,19,0.888896	344.769,76.2272,19,0.97615	336.97,76.1623,19,0.898305	321.968,102.405,22,0.936584	318.27,113.999,22,0.87014	359.648,76.2728,19,0.866026	367.313,102.379,20,0.848392	367.203,117.659,21,0.817349	344.61,117.729,20,0.892936	340.654,117.658,20,0.830167	336.909,144.171,21,0.795407	333.298,167.039,23,0.792489	348.432,117.71,20,0.876459	348.324,147.942,22,0.899963	344.684,170.577,23,0.911056	344.708,64.8107,19,0.882076	348.4,64.8318,19,0.844354	344.463,68.4773,19,0.703082	352.106,68.4912,19,0.6494	344.688,182.037,22,0.718206	348.354,178.215,22,0.711783	344.571,174.395,22,0.739105	333.238,178.171,23,0.699182	329.403,174.524,23,0.696489	329.468,170.812,23,0.631154
1712927499.021982	0	348.281,72.1334,19,0.902968	348.189,76.286,19,0.970209	337.082,76.2042,19,0.905178	325.674,102.419,21,0.92107	318.339,113.98,22,0.859629	359.681,76.3426,19,0.857158	367.256,102.414,20,0.847169	363.52,117.647,20,0.805536	344.655,117.73,21,0.899499	340.737,117.654,21,0.841893	336.957,140.539,22,0.795527	336.905,166.92,22,0.797189	348.448,117.707,20,0.877935	348.313,147.886,21,0.903063	344.692,166.996,23,0.924253	344.733,68.4422,19,0.892717	348.423,68.4762,19,0.858244	344.486,68.5715,19,0.70992	352.13,68.589,19,0.648816	344.712,181.986,22,0.734859	348.4,174.533,23,0.729761	344.578,170.781,23,0.742184	333.25,174.418,23,0.707432	329.44,174.376,23,0.70333	329.477,170.676,24,0.638376
