1712928229.584087	0	348.42,53.4235,20,0.901691	348.387,72.4924,19,0.996455	340.794,72.4353,19,0.937083	325.726,95.0857,22,0.865659	318.319,110.31,22,0.847421	367.189,72.5302,20,0.882215	374.622,95.0803,21,0.888589	371.074,110.18,21,0.892428	348.193,113.964,20,0.897355	340.793,113.879,20,0.871157	340.763,151.676,22,0.778334	340.794,167.071,23,0.786621	352.158,114.008,20,0.856736	348.296,151.769,22,0.894284	344.664,170.686,23,0.854284	348.259,49.6867,20,0.939559	352.1,49.6658,19,0.882774	344.598,49.8078,21,0.786431	359.64,53.4003,19,0.677105	344.567,182.038,22,0.609561	344.739,178.288,23,0.607693	344.575,174.5,23,0.661212	340.853,181.917,23,0.645896	340.673,178.227,23,0.630699	340.676,174.408,23,0.579121
1712928229.630392	0	348.429,53.3933,19,0.901944	348.378,72.48,19,1.00213	340.767,72.4208,19,0.934823	325.655,95.0529,22,0.862666	318.306,110.263,22,0.857451	367.185,72.5087,20,0.887283	374.626,95.0435,21,0.893662	371.085,110.185,21,0.901454	348.181,113.965,20,0.892938	340.773,113.886,20,0.866064	340.781,151.751,22,0.791523	340.815,170.661,24,0.791267	352.14,114.002,21,0.857638	348.329,151.759,22,0.895312	344.684,170.796,23,0.855266	348.266,49.6596,19,0.944115	352.117,49.639,19,0.884318	344.598,49.7817,19,0.796814	359.638,53.3757,19,0.668367	344.639,185.776,22,0.628407	348.24,182.04,22,0.619153	344.599,178.227,23,0.666132	344.424,185.697,22,0.660773	340.726,181.993,23,0.643449	340.699,174.528,23,0.591504
1712928229.677355	0	348.414,53.3992,19,0.901172	348.363,72.4815,19,1.00567	340.772,72.4191,19,0.934281	325.661,95.0521,22,0.859961	318.265,110.268,22,0.859974	363.544,72.5325,19,0.883758	374.612,95.0766,22,0.887207	371.061,110.217,21,0.887337	344.755,113.984,21,0.893143	340.759,113.895,21,0.863459	340.753,151.72,22,0.775974	340.807,167.066,23,0.783926	352.1,114.027,21,0.859748	348.281,151.798,22,0.890616	344.676,170.674,23,0.850111	348.256,49.6678,19,0.939449	352.092,49.6469,19,0.88407	344.596,49.7967,20,0.781426	356.016,53.3798,19,0.683581	344.624,182.001,23,0.599807	348.226,178.215,23,0.605369	344.598,174.481,23,0.652002	344.398,181.936,23,0.636455	340.736,178.233,23,0.620661	340.676,174.415,24,0.568509
1712928229.724324	0	348.44,53.3914,19,0.90717	348.399,72.473,19,1.0034	340.78,72.4178,19,0.94062	325.741,95.0484,22,0.86272	318.326,110.153,22,0.874223	367.206,72.5058,19,0.891883	374.637,95.033,22,0.89259	371.09,110.117,21,0.911221	348.232,113.926,20,0.901234	340.821,110.304,20,0.880131	340.775,147.996,22,0.785735	340.814,167.032,23,0.827328	352.204,113.961,20,0.85667	348.335,151.753,22,0.895836	344.681,170.63,23,0.87956	348.273,49.6594,19,0.953654	352.127,49.6374,19,0.890133	344.593,49.7815,20,0.802796	359.672,53.3809,19,0.673777	344.627,181.979,23,0.632831	348.242,178.2,23,0.632269	344.61,174.438,23,0.678463	344.397,181.933,23,0.670782	340.721,178.2,23,0.65582	340.7,170.808,23,0.614741
1712928229.771443	0	348.428,53.3923,19,0.905702	348.368,72.4544,19,0.999539	340.777,72.4126,20,0.934005	325.746,95.0099,22,0.852897	321.841,110.115,22,0.880806	363.552,72.4881,19,0.884077	374.637,95.0117,21,0.885709	371.098,110.125,21,0.899899	348.224,113.94,20,0.900656	340.827,113.866,20,0.87759	340.807,151.769,22,0.796528	340.807,170.661,23,0.792398	352.199,113.967,20,0.855884	348.345,155.431,22,0.895969	344.718,170.752,23,0.848133	348.263,49.6602,19,0.951724	352.11,49.6371,19,0.88786	344.58,49.7753,21,0.805899	359.628,53.374,19,0.662099	344.7,185.708,22,0.601128	348.307,181.958,23,0.593059	344.629,178.148,23,0.648379	344.449,185.689,22,0.657199	340.748,181.964,23,0.635891	340.691,174.535,23,0.595865
1712928229.817666	0	348.428,53.3913,19,0.892632	348.374,72.4132,19,1.00164	340.846,72.3828,19,0.934143	329.486,94.9667,21,0.837998	321.896,106.587,22,0.869058	363.51,72.4638,19,0.883441	374.611,91.3218,21,0.862808	371.093,106.507,21,0.886407	348.247,110.284,20,0.912352	340.867,110.219,20,0.895536	340.872,147.913,22,0.785054	340.852,167.015,24,0.783914	352.212,110.304,20,0.862319	348.34,151.692,22,0.889204	344.69,167.093,23,0.857211	348.269,49.6704,19,0.934492	352.069,49.6387,19,0.874216	344.602,49.7713,19,0.792118	355.972,53.3913,19,0.652377	344.666,181.927,23,0.606391	348.289,174.509,23,0.608919	344.585,174.387,23,0.638771	344.449,178.258,23,0.636041	340.817,178.151,23,0.619871	340.708,170.795,24,0.58049
1712928229.863841	0	348.441,53.4351,19,0.896982	348.395,72.4472,19,0.994335	340.829,72.408,19,0.937882	329.465,95.0366,21,0.848348	321.883,110.142,22,0.864504	367.165,72.4757,19,0.880831	374.586,94.9831,22,0.860273	371.024,106.545,21,0.877073	348.269,110.298,19,0.912221	344.333,110.248,19,0.89682	340.877,144.247,22,0.798052	340.87,166.988,23,0.806574	352.242,110.31,19,0.858977	348.39,148.019,22,0.885133	344.715,167.064,23,0.887203	348.276,49.7005,20,0.940707	352.105,49.6684,19,0.880483	344.601,49.8095,21,0.799306	356.021,53.4065,19,0.655417	344.723,181.928,23,0.633965	348.345,174.494,23,0.639578	344.621,174.373,23,0.666437	344.472,178.239,23,0.656835	340.819,174.524,23,0.640574	340.732,170.78,23,0.599052
1712928229.910588	0	348.428,53.4063,19,0.902375	348.405,72.454,19,0.997576	340.824,72.4256,20,0.936984	329.468,98.65,21,0.847504	321.954,106.591,22,0.868006	367.179,72.4645,19,0.883716	374.612,94.9537,22,0.866227	371.089,106.506,21,0.903965	348.314,110.309,21,0.906943	344.385,110.273,21,0.902439	344.38,147.878,22,0.812635	344.343,167.011,23,0.829754	352.281,113.864,21,0.849178	348.407,147.98,22,0.890187	344.7,167.068,23,0.892569	348.256,49.6787,19,0.948682	352.092,49.6468,19,0.885051	344.577,49.8003,19,0.804836	356.016,53.3872,19,0.657345	344.679,178.284,23,0.645177	348.295,174.505,23,0.642696	344.603,174.396,23,0.66733	344.505,181.916,22,0.672772	340.84,178.16,23,0.657177	340.778,170.795,24,0.624873
1712928229.957812	0	348.444,53.4469,19,0.894786	348.435,72.4693,19,0.998027	340.871,72.4337,19,0.946791	333.155,95.0825,21,0.849425	321.987,110.138,22,0.852867	367.201,72.4861,19,0.884721	374.605,94.9622,22,0.85671	371.053,106.533,21,0.880628	348.318,110.308,20,0.911123	344.395,110.263,20,0.907284	344.365,147.913,22,0.809655	344.323,167.027,23,0.82124	352.278,113.871,21,0.851887	348.391,151.655,22,0.891335	344.697,170.593,23,0.882674	348.278,49.7195,19,0.938152	352.1,49.6798,19,0.877636	344.613,53.3898,20,0.794695	359.63,53.4047,19,0.658109	344.667,181.97,23,0.630489	348.28,178.176,23,0.62934	344.6,174.447,23,0.65875	344.475,181.924,23,0.676836	340.801,178.166,23,0.658004	340.759,174.388,23,0.613909
1712928230.004484	0	348.407,53.4143,20,0.900996	348.399,72.4651,19,0.998607	340.819,72.4305,19,0.939916	329.467,98.6448,21,0.853287	321.962,110.093,22,0.867985	367.174,72.465,20,0.884629	374.609,94.9343,22,0.861284	371.081,106.504,21,0.884668	348.299,110.296,20,0.914999	344.367,110.254,20,0.908887	344.339,144.261,22,0.817871	340.876,167.005,23,0.842626	352.283,110.301,20,0.857621	348.405,147.949,22,0.894794	344.676,167.075,23,0.903358	348.242,49.6878,19,0.943142	352.068,49.6581,19,0.882306	344.575,49.8306,21,0.79016	356.009,53.4054,19,0.669951	344.661,178.278,23,0.656429	348.286,174.512,23,0.652596	344.583,174.393,23,0.682957	344.474,181.926,22,0.687848	340.787,178.155,23,0.67196	340.749,170.777,23,0.640283
1712928230.051459	0	348.415,53.4338,19,0.891286	348.388,72.4639,19,1.00578	340.831,72.4288,19,0.941607	329.482,95.0839,21,0.859596	321.911,110.153,22,0.877181	363.543,72.4862,19,0.888192	374.584,94.9664,22,0.864113	371.015,106.548,22,0.878398	348.272,110.289,20,0.92322	344.348,110.241,20,0.911558	344.335,144.243,22,0.811487	344.319,167.033,24,0.813202	352.229,110.302,20,0.869277	348.359,147.966,22,0.899025	344.682,170.585,23,0.888079	348.256,49.7108,19,0.928846	348.6,49.6823,19,0.872142	344.594,53.4004,20,0.783058	355.962,53.4256,19,0.66492	344.642,181.924,23,0.646609	348.253,174.516,23,0.653495	344.601,174.448,23,0.670979	344.472,181.914,23,0.65725	340.819,178.181,23,0.643132	340.758,174.379,23,0.606809
1712928230.098712	0	348.393,53.4255,19,0.883022	348.382,72.4451,19,0.990907	344.335,72.4231,19,0.939252	333.22,94.994,21,0.825875	322.004,110.146,22,0.828554	363.479,72.4887,19,0.870844	371.119,94.9818,21,0.838231	370.994,106.539,21,0.838985	348.284,113.866,20,0.905809	344.386,110.28,21,0.89957	344.366,147.893,22,0.798397	344.31,167.002,24,0.760033	352.221,113.889,20,0.848135	348.307,148.021,22,0.88821	344.661,170.58,23,0.833295	348.235,49.7004,19,0.917659	348.567,49.6613,19,0.868205	344.606,53.3801,21,0.75657	355.875,53.3689,19,0.649387	344.6,178.271,23,0.590671	348.236,174.52,23,0.592716	344.56,174.425,23,0.627209	344.44,178.185,23,0.612466	340.818,174.488,23,0.598352	340.719,170.805,24,0.552408
1712928230.145676	0	348.405,49.8242,19,0.907193	348.4,72.4615,19,0.99871	340.799,72.4278,19,0.934709	329.389,95.0673,21,0.848363	321.847,110.137,22,0.883399	367.194,72.4682,19,0.884275	374.61,94.9662,21,0.868768	371.064,106.572,21,0.891087	348.299,110.313,20,0.908552	344.354,110.27,21,0.903443	344.346,147.877,22,0.813604	344.349,167.068,23,0.841987	352.282,113.871,20,0.852866	348.384,147.994,22,0.895857	344.666,170.618,23,0.903667	348.239,49.6488,19,0.949505	352.077,49.6181,19,0.891084	344.566,49.791,20,0.793374	359.624,49.7918,19,0.681318	344.613,181.96,23,0.667629	348.217,178.185,23,0.664938	344.585,174.48,23,0.700795	344.497,181.992,23,0.675277	340.834,178.261,23,0.661898	340.812,174.413,24,0.630154
1712928230.192399	0	348.363,49.8182,19,0.897006	348.35,72.4327,19,1.00081	340.798,72.4079,19,0.930772	329.439,95.0153,21,0.841808	318.347,110.13,22,0.882411	363.498,72.4619,19,0.878301	374.593,94.9617,20,0.856295	371.05,106.554,22,0.873237	348.247,113.861,20,0.9142	340.871,110.259,21,0.899615	344.327,147.902,22,0.796906	340.881,167.035,23,0.787367	352.211,113.883,20,0.86117	348.341,148.015,22,0.888675	344.697,170.599,23,0.866223	348.208,49.646,19,0.929575	348.558,49.6211,19,0.88165	344.556,49.8031,20,0.760539	355.916,49.7975,19,0.68678	344.624,181.934,23,0.626393	348.261,174.538,23,0.628863	344.606,174.464,23,0.653258	344.455,181.915,23,0.644937	340.8,178.19,23,0.629124	340.761,174.374,23,0.583552
1712928230.238595	0	348.351,53.4115,19,0.899632	348.341,72.4526,19,0.992836	340.784,72.4234,19,0.927251	329.395,95.0557,21,0.848117	321.832,110.171,22,0.867559	363.484,72.4763,19,0.878597	371.105,94.9835,21,0.853536	371.013,106.517,22,0.877405	348.214,113.896,21,0.913247	340.835,110.283,21,0.890042	340.857,144.265,22,0.805595	340.845,166.995,24,0.797835	352.162,113.925,21,0.8647	348.338,148.018,22,0.890903	344.701,167.089,23,0.873641	348.196,49.683,19,0.931637	348.545,49.67,19,0.884355	344.55,49.8261,20,0.756045	355.891,53.3889,19,0.685181	344.632,178.275,23,0.632465	348.274,174.506,23,0.634487	344.611,174.414,23,0.66283	344.397,178.24,23,0.665721	340.75,174.53,23,0.650351	340.712,170.789,24,0.586376
1712928230.285647	0	348.339,53.395,19,0.896372	348.285,72.426,19,0.996994	340.699,72.401,19,0.913743	325.683,95.0015,21,0.855611	321.835,110.127,22,0.865144	363.453,72.45,19,0.878843	374.58,91.2828,22,0.854614	371.077,106.393,22,0.893908	348.199,110.287,20,0.918523	340.793,110.222,20,0.895338	340.812,144.266,22,0.804053	340.796,167.039,24,0.787437	352.176,110.302,20,0.870874	348.381,147.989,22,0.890753	344.738,170.631,24,0.872138	348.181,49.6653,19,0.928359	348.53,49.6588,19,0.882118	344.527,49.8005,20,0.770798	355.862,53.4038,19,0.667453	344.705,181.98,23,0.640599	348.337,178.196,23,0.639246	344.65,174.467,23,0.671982	344.403,181.968,23,0.657979	340.739,178.229,23,0.642267	340.687,170.803,24,0.593603
1712928230.331725	0	348.318,53.4837,19,0.893927	348.244,72.4633,19,0.999532	340.643,72.4208,19,0.909842	325.623,94.9896,21,0.860493	318.317,110.103,22,0.864437	359.777,72.5106,19,0.878666	371.111,94.9878,21,0.865856	371.036,106.479,21,0.884559	344.749,110.306,20,0.917182	340.742,110.23,20,0.88743	340.749,144.261,22,0.805533	340.77,166.99,24,0.79194	352.076,113.866,20,0.880176	348.339,147.967,22,0.894807	344.714,167.078,23,0.877481	348.169,49.7409,19,0.922243	348.499,49.7383,19,0.876964	344.52,53.4271,19,0.764756	352.281,53.4892,19,0.670641	344.653,178.265,23,0.632006	348.303,174.512,23,0.630167	344.626,174.378,23,0.669562	340.838,178.241,23,0.653418	340.694,178.147,23,0.638657	340.646,170.76,24,0.591457
1712928230.377391	0	348.324,53.5244,19,0.890619	348.248,72.5008,19,1.00514	340.637,72.4534,19,0.915639	321.988,95.0341,21,0.874187	321.868,106.529,22,0.860514	363.408,75.9272,20,0.884198	371.084,95.0549,20,0.865627	371.007,106.525,21,0.89434	344.714,113.947,21,0.91188	340.724,113.855,21,0.869772	340.717,147.99,22,0.815453	340.715,167.036,23,0.803051	348.566,113.98,21,0.883405	348.306,151.663,22,0.899184	344.693,170.619,23,0.855218	348.178,49.7764,19,0.917771	348.501,49.7814,19,0.870659	344.532,53.4752,20,0.758207	352.291,57.1481,19,0.668169	344.641,178.259,23,0.620202	348.298,174.532,23,0.606727	344.61,174.416,23,0.655044	340.789,181.917,23,0.674535	337.054,178.175,23,0.656986	337.021,174.381,23,0.606114
1712928230.424586	0	348.302,53.5258,19,0.886782	348.265,72.4904,19,1.00766	340.638,72.432,19,0.922078	321.862,95.0062,21,0.883136	318.161,106.593,22,0.879492	363.419,75.9613,19,0.885086	371.09,98.6921,20,0.865474	371.015,106.493,21,0.895298	344.666,113.991,20,0.899138	340.647,113.868,21,0.851822	340.656,147.992,22,0.780136	340.672,167.024,23,0.745966	348.525,117.661,20,0.87923	348.244,151.701,22,0.890276	344.67,170.596,23,0.841088	348.16,49.7676,19,0.902238	348.493,49.7806,19,0.872967	344.534,53.4458,20,0.676962	355.886,53.4798,19,0.711001	344.626,178.221,23,0.60554	348.27,174.465,23,0.609578	344.601,174.357,23,0.653079	340.737,178.188,23,0.611645	337.046,174.524,23,0.596665	336.981,170.789,23,0.550882
